Tiempo,x_ee,y_ee
1.52,0.0191196535817132,0.0523027970335564
1.53,0.0193587399433469,0.050696497569565
1.54,0.0196251805302778,0.0491049526730486
1.55,0.0199215954913696,0.0475290391754212
1.56,0.0202506049754855,0.0459696339080967
1.57,0.020614829131489,0.0444276137024891
1.58,0.0210168881082436,0.0429038553900124
1.59,0.0214594020546128,0.0413992358020806
1.6,0.0219449911194599,0.0399146317701075
1.61,0.0224760691502642,0.0384511068598312
1.62,0.0230542247889683,0.0370104715742853
1.63,0.0236808403761305,0.0355947231508273
1.64,0.0243572982523091,0.0342058588268149
1.65,0.0250849807580624,0.0328458758396055
1.66,0.0258652702339488,0.031516771426557
1.67,0.0266995490205265,0.0302205428250267
1.68,0.027589199458354,0.0289591872723723
1.69,0.0285356038879896,0.0277347020059514
1.7,0.0295401446499916,0.0265490842631215
1.71,0.0306038468891647,0.0254041473313351
1.72,0.0317263069672992,0.0243009686984238
1.73,0.0329067640504319,0.023240441902314
1.74,0.0341444573045995,0.0222234604809322
1.75,0.0354386258958386,0.0212509179722047
1.76,0.036788508990186,0.020323707914058
1.77,0.0381933457536785,0.0194427238444186
1.78,0.0396523753523526,0.0186088593012128
1.79,0.0411648369522451,0.0178230078223671
1.8,0.0427299697193928,0.017086062945808
1.81,0.0443468681682956,0.0163984980458939
1.82,0.0460140482073059,0.0157591058427115
1.83,0.0477298810932395,0.0151662588927798
1.84,0.0494927380829122,0.0146183297526176
1.85,0.0513009904331397,0.0141136909787436
1.86,0.0531530094007377,0.0136507151276767
1.87,0.055047166242522,0.0132277747559358
1.88,0.0569818322153083,0.0128432424200396
1.89,0.0589553785759124,0.0124954906765071
1.9,0.0609661765811499,0.0121828920818569
1.91,0.0630125879321024,0.0119037986988509
1.92,0.0650929361069143,0.011656480615222
1.93,0.0672055350279957,0.0114391874249463
1.94,0.0693486986177567,0.0112501687219995
1.95,0.0715207407986074,0.0110876741003576
1.96,0.073719975492958,0.0109499531539966
1.97,0.0759447166232187,0.0108352554768922
1.98,0.0781932781117995,0.0107418306630206
1.99,0.0804639738811106,0.0106679283063575
2,0.0827551178535621,0.0106117980008789
2.01,0.0850650476930159,0.0105719391066492
2.02,0.087392196029141,0.0105478500480865
2.03,0.0897350192330583,0.0105392790156976
2.04,0.0920919736758883,0.0105459741999891
2.05,0.0944615157287519,0.0105676837914677
2.06,0.09684210176277,0.0106041559806401
2.07,0.0992321881490632,0.0106551389580129
2.08,0.101630231258752,0.0107203809140928
2.09,0.104034687462958,0.0107996300393866
2.1,0.106444013132802,0.0108926345244008
2.11,0.108856733815731,0.0109993696972781
2.12,0.111271651764508,0.0111207194367047
2.13,0.113687638408222,0.0112577947590026
2.14,0.116103565175962,0.011411706680494
2.15,0.118518303496816,0.011583566217501
2.16,0.120930724799875,0.0117744843863456
2.17,0.123339700514227,0.0119855722033501
2.18,0.125744102068962,0.0122179406848365
2.19,0.128142800893168,0.0124727008471269
2.2,0.130534668415936,0.0127509637065434
2.21,0.1329186283261,0.0130539266170025
2.22,0.135293813351482,0.0133831322827979
2.23,0.137659408479649,0.0137402097458177
2.24,0.140014598698169,0.0141267880479499
2.25,0.14235856899461,0.0145444962310827
2.26,0.14469050435654,0.0149949633371041
2.27,0.147009589771525,0.0154798184079022
2.28,0.149315010227134,0.016000690485365
2.29,0.151605950710934,0.0165592086113808
2.3,0.153881596210493,0.0171570018278374
2.31,0.156140999582546,0.0177953727307481
2.32,0.158382685160498,0.0184743181326263
2.33,0.160605045146922,0.0191935084001105
2.34,0.16280647174439,0.019952613899839
2.35,0.164985357155475,0.0207513049984505
2.36,0.16714009358275,0.0215892520625832
2.37,0.169269073228788,0.0224661254588759
2.38,0.171370688296161,0.0233815955539668
2.39,0.173443330987441,0.0243353327144945
2.4,0.175485393505202,0.0253270073070974
2.41,0.177495157128686,0.0263560310243074
2.42,0.179470459443819,0.0274207808622298
2.43,0.181409027113198,0.0285193751428633
2.44,0.183308586799417,0.0296499321882066
2.45,0.185166865165074,0.0308105703202584
2.46,0.186981588872764,0.0319994078610173
2.47,0.188750484585083,0.0332145631324822
2.48,0.190471278964627,0.0344541544566516
2.49,0.192141698673993,0.0357163001555243
2.5,0.193759470375775,0.036999118551099
2.51,0.195322618464168,0.0383008832222464
2.52,0.19683035825975,0.039620488775325
2.53,0.198282202814699,0.0409569850735658
2.54,0.199677665181189,0.0423094219801992
2.55,0.201016258411398,0.0436768493584561
2.56,0.202297495557502,0.0450583170715671
2.57,0.203520889671676,0.0464528749827628
2.58,0.204685953806099,0.047859572955274
2.59,0.205792201012945,0.0492774608523313
2.6,0.206839144344391,0.0507055885371655
2.61,0.207826582424915,0.052143061027036
2.62,0.2087554561682,0.0535892039553181
2.63,0.20962699206023,0.0550433981094159
2.64,0.21044241658699,0.0565050242767333
2.65,0.211202956234463,0.0579734632446744
2.66,0.211909837488634,0.0594480958006433
2.67,0.212564286835488,0.0609283027320439
2.68,0.213167530761009,0.0624134648262805
2.69,0.213720795751181,0.0639029628707569
2.7,0.214225308291988,0.0653961776528774
2.71,0.214682329793371,0.066892523850607
2.72,0.215093261361088,0.0683915517041555
2.73,0.215459539024856,0.0698928453442936
2.74,0.215782598814389,0.0713959889017924
2.75,0.216063876759402,0.0729005665074225
2.76,0.216304808889611,0.074406162291955
2.77,0.21650683123473,0.0759123603861605
2.78,0.216671379824475,0.0774187449208101
2.79,0.21679989068856,0.0789249000266744
2.8,0.216893799856702,0.0804304098345245
2.81,0.216954554833637,0.0819349269409392
2.82,0.216983649024194,0.0834383778057306
2.83,0.216982587308225,0.0849407573545189
2.84,0.216952874565581,0.0864420605129239
2.85,0.216896015676113,0.0879422822065661
2.86,0.216813515519673,0.0894414173610653
2.87,0.216706878976111,0.0909394609020418
2.88,0.21657761092528,0.0924364077551157
2.89,0.21642721624703,0.0939322528459071
2.9,0.216257199821213,0.095426991100036
2.91,0.216069041729027,0.096920637551819
2.92,0.215864122857057,0.0984132876703571
2.93,0.215643799293236,0.0999050570334479
2.94,0.215409427125497,0.101396061218889
2.95,0.215162362441772,0.102886415804477
2.96,0.214903961329993,0.10437623636801
2.97,0.214635579878093,0.105865638487285
2.98,0.214358574174004,0.107354737740101
2.99,0.214074300305658,0.108843649704253
3,0.213784114360989,0.11033248995754
3.01,0.213489333671976,0.111821428804457
3.02,0.213191120546791,0.113310855456287
3.03,0.212890598537653,0.114801213851012
3.04,0.212588891196782,0.116292947926615
3.05,0.212287122076396,0.117786501621076
3.06,0.211986414728716,0.119282318872377
3.07,0.211687892705961,0.1207808436185
3.08,0.21139267956035,0.122282519797427
3.09,0.211101898844102,0.123787791347139
3.1,0.210816674109437,0.125297102205617
3.11,0.210538113406788,0.126810807120382
3.12,0.210267262779445,0.128328904077107
3.13,0.210005152768912,0.129851301871002
3.14,0.209752813916693,0.131377909297277
3.15,0.209511276764292,0.132908635151144
3.16,0.209281571853213,0.134443388227814
3.17,0.20906472972496,0.135982077322497
3.18,0.208861780921037,0.137524611230405
3.19,0.208673755982948,0.139070898746748
3.2,0.208501685452196,0.140620848666736
3.21,0.208346614322763,0.142174200033816
3.22,0.208209645398536,0.143730012884368
3.23,0.208091895935879,0.145287177503008
3.24,0.207994483191157,0.146844584174351
3.25,0.207918524420733,0.148401123183014
3.26,0.207865136880972,0.149955684813612
3.27,0.207835437828237,0.151507159350761
3.28,0.207830544518894,0.153054437079076
3.29,0.207851574209306,0.154596408283172
3.3,0.207899644155837,0.156131963247667
3.31,0.207975935130065,0.157659826622012
3.32,0.208081881964419,0.159178060515015
3.33,0.208218983006538,0.160684561400321
3.34,0.208388736604066,0.162177225751573
3.35,0.208592641104642,0.163653950042415
3.36,0.20883219485591,0.165112630746494
3.37,0.209108896205509,0.166551164337452
3.38,0.209424243501082,0.167967447288935
3.39,0.20977973509027,0.169359376074587
3.4,0.210176869320715,0.170724847168052
3.41,0.210617000067349,0.172061705660124
3.42,0.211100903314277,0.173367591110196
3.43,0.211629210572893,0.17464009169481
3.44,0.212202553354594,0.175876795590506
3.45,0.212821563170774,0.177075290973827
3.46,0.213486871532829,0.178233166021315
3.47,0.214199109952155,0.179348008909511
3.48,0.214958909940148,0.180417407814956
3.49,0.215766903008202,0.181438950914194
3.5,0.216623720667713,0.182410226383765
3.51,0.217529489088137,0.183328972883053
3.52,0.218482313071173,0.184193531002816
